winner,birthdate,ceremony,age,first,novelwins,total,gender,categories
Alfred Bester,18/12/13,9/8/1953,39.72347707,Novel,1,1,Male,
Ann Leckie,02/03/66,8/17/2014,48.45995893,Novel,1,1,Female,
China Mieville,02/09/72,9/6/2010,38.00958248,Novel,1,1,Male,
Cixin Liu,23/06/63,8/22/2015,52.16427105,Novel,1,1,Male,
Dan Simmons,04/04/48,8/27/1990,42.39561944,Novel,1,1,Male,
David Brin,06/10/50,9/3/1984,33.91101985,Novel,2,3,Male,"2 novels, 1 short story"
Frank Herbert,08/10/20,9/5/1966,45.908282,Novel,1,1,Male,
Frank Reilly,08/06/15,9/4/1955,40.24093087,Novel,1,1,Male,
Fritz Leiber,24/12/10,9/1/1958,47.68788501,Novel,2,6,Male,"2 novels, 1 novelette, 2 novellas, 1 short story"
Isaac Asimov,02/01/20,9/3/1973,53.67008898,Novel,2,4,Male,2 novel; 2 novelette
J.K. Rowling,31/07/65,9/3/2001,36.09308693,Novel,1,1,Female,
James Blish,23/05/21,9/7/1959,38.29158111,Novel,1,1,Male,
Jo Walton,01/12/64,9/3/2012,47.75633128,Novel,1,1,Female,
Joe Haldeman,09/06/43,9/6/1976,33.24572211,Novel,2,5,Male,"2 novel, 2 short story, 1 novella"
John Brunner,24/09/34,9/1/1969,34.93771389,Novel,1,1,Male,
John Scalzi,10/05/69,9/2/2013,44.31485284,Novel,1,1,Male,
Kate Wilhelm,08/06/28,9/5/1977,49.24298426,Novel,1,1,Female,
Kim Stanley Robinson,23/03/52,9/5/1994,42.45311431,Novel,2,2,Male,2 novel
Mark Clifton,01/11/06,9/4/1955,48.84052019,Novel,1,1,male,
Michael Chabon,24/05/63,8/10/2008,45.21560575,Novel,1,1,Male,
N.K. Jemisin,19/09/72,8/20/2016,43.91786448,Novel,3,4,female,3 novels; 1 novelette
Neal Stephenson,31/10/59,9/2/1996,36.84052019,Novel,1,1,male,
Neil Gaiman,10/11/60,9/2/2002,41.80971937,Novel,2,4,Male,"2 novel, 1 novella, 1 short story"
Orson Scott Card,24/08/51,9/1/1986,35.02258727,Novel,2,3,Male,"2 novel, 1 novella"
Paolo Bacigalupi,06/08/72,9/6/2010,38.08350445,Novel,1,1,Male,
Phillip K. Dick,16/12/28,9/2/1963,34.71047228,Novel,1,1,Male,
Robert A. Heinlein,07/07/07,9/3/1956,49.16084873,Novel,4,4,Male,4 novel
Robert Charles Wilson,15/12/53,8/27/2006,52.69815195,Novel,1,1,Male,
Robert J. Sawyer,29/04/60,9/1/2003,43.34017796,Novel,1,1,Male,
